time_index,time,n_cells,n_malignant_epithelial_cell,n_M0_macrophage,n_effector_T_cell,prop_malignant_epithelial_cell,prop_M0_macrophage,prop_effector_T_cell,density_total,density_malignant_epithelial_cell,density_M0_macrophage,density_effector_T_cell,mean_nnd,mean_nnd_M0_macrophage,mean_nnd_effector_T_cell,mean_nnd_malignant_epithelial_cell,clark_evans_R,clark_evans_R_M0_macrophage,clark_evans_R_effector_T_cell,clark_evans_R_malignant_epithelial_cell,shannon_diversity,n_exhausted_T_cell,prop_exhausted_T_cell,density_exhausted_T_cell,mean_nnd_exhausted_T_cell,clark_evans_R_exhausted_T_cell,n_M1_macrophage,prop_M1_macrophage,density_M1_macrophage,mean_nnd_M1_macrophage,clark_evans_R_M1_macrophage,n_M2_macrophage,prop_M2_macrophage,density_M2_macrophage,mean_nnd_M2_macrophage,clark_evans_R_M2_macrophage
0,0.0,1100.0,1000.0,50.0,50.0,0.9090909090909091,0.045454545454545456,0.045454545454545456,0.0005814014947303882,0.0005285468133912621,2.6427340669563102e-05,2.6427340669563102e-05,18.97156885723086,87.82138069043204,101.9716409063798,19.72154782536014,0.9148951262818291,0.9029360398989007,1.0484220231808608,0.9068025279507476,0.3346489759784664,,,,,,,,,,,,,,,
1,10.0,1081.0,981.0,50.0,48.0,0.9074930619796485,0.04625346901017576,0.04440333024976873,0.0005708992292144043,0.000518087089601601,2.640606980640168e-05,2.5349827014145616e-05,20.998357002143646,87.00626872861989,103.89215897856047,21.524886865688142,1.0034483867222077,0.8941953836937776,1.0461651944849104,0.979878566543261,0.2742482722556577,2.0,0.0018501387604070306,1.0562427922560673e-06,974.1719794090459,2.0023846548998336,,,,,,,,,,
2,20.0,1052.0,952.0,49.0,41.0,0.9049429657794676,0.04657794676806084,0.03897338403041825,0.0005555307829740111,0.0005027236743262915,2.5875483237382647e-05,2.1650914545565073e-05,21.551617445623723,85.42696073253028,110.8606313862478,21.80724482118325,1.0159303381696294,0.8690988711776968,1.0316810805489742,0.977902291261772,0.25290642711691763,9.0,0.008555133079847909,4.752639778294772e-06,220.24649682474436,0.9602989507720918,1.0,0.0009505703422053232,5.280710864771969e-07,,,,,,,
3,30.0,1046.0,946.0,48.0,41.0,0.904397705544933,0.045889101338432124,0.03919694072657744,0.0005523313483143045,0.0004995272041159962,2.5345989215187966e-05,2.1649699121306388e-05,21.680524313070183,85.11273434680488,111.17550093241563,21.833799848823915,1.0190596899126851,0.8569967234575772,1.034582250197091,0.975975448700385,0.23075877134854086,9.0,0.008604206500956023,4.752372977847744e-06,220.28137356972871,0.9604240582661835,1.0,0.0009560229445506692,5.280414419830826e-07,,,1.0,0.0009560229445506692,5.280414419830826e-07,,
4,40.0,1041.0,941.0,48.0,39.0,0.9039385206532181,0.04610951008645533,0.037463976945244955,0.000549668975157563,0.0004968669602528979,2.5344967154239213e-05,2.059278581281936e-05,21.67655550768407,84.58347491640649,114.84859395632212,21.771655197989453,1.016414566242585,0.851650459735226,1.0423491810842336,0.9706027171166342,0.23308522248220512,11.0,0.010566762728146013,5.808221639513154e-06,142.78153195272236,0.6882141905619561,1.0,0.0009606147934678194,5.280201490466503e-07,,,1.0,0.0009606147934678194,5.280201490466503e-07,,
5,50.0,1035.0,935.0,48.0,39.0,0.9033816425120773,0.0463768115942029,0.03768115942028986,0.0005464876529425274,0.0004936869135277904,2.5344354919073735e-05,2.059228837174741e-05,21.732168982586618,82.70682283803517,114.85189098413888,21.76141447609935,1.0160691046006913,0.8327448477731698,1.042366514455658,0.9670366282070242,0.2341086881017625,11.0,0.010628019323671498,5.808081335621064e-06,142.8450454423827,0.6885120127600028,1.0,0.000966183574879227,5.280073941473694e-07,,,1.0,0.000966183574879227,5.280073941473694e-07,,
6,60.0,1034.0,934.0,48.0,38.0,0.9032882011605415,0.04642166344294004,0.0367504835589942,0.000545946506811337,0.0004931470380674939,2.5343744997044657e-05,2.0063798122660353e-05,21.695397734561823,80.99887471687607,114.81598727645266,21.703243036483926,1.0138475540591108,0.8155383274813219,1.0285820354147959,0.9639241117321838,0.23493257754647723,12.0,0.01160541586073501,6.335936249261164e-06,163.224546698769,0.8217143403775976,1.0,0.0009671179883945841,5.279946874384304e-07,,,1.0,0.0009671179883945841,5.279946874384304e-07,,
7,70.0,1032.0,932.0,47.0,37.0,0.9031007751937985,0.045542635658914726,0.035852713178294575,0.0005448742999459086,0.0004920764026643282,2.4815011722342734e-05,1.9535221994184708e-05,21.562071495203252,79.8973599925029,117.12283046771768,21.647606400402278,1.0066271493803989,0.7960120963155028,1.035334605620754,0.9604088384851786,0.23775099136059186,13.0,0.012596899224806201,6.8637266466054375e-06,168.30388049108916,0.8818690777547692,2.0,0.001937984496124031,1.0559579456316057e-06,957.9290218200798,1.9687321698860796,1.0,0.0009689922480620155,5.279789728158029e-07,,
8,80.0,1029.0,929.0,47.0,35.0,0.902818270165209,0.0456754130223518,0.034013605442176874,0.000543271060252948,0.0004904750388483855,2.481413006014437e-05,1.847860749159687e-05,21.54106931212775,80.95594977269597,121.9567035588938,21.63298210201922,1.0041660619377464,0.8065444276597414,1.0485044862221413,0.9581970771335588,0.23930334965639907,15.0,0.014577259475218658,7.919403210684372e-06,157.68004742164365,0.8874685370863963,2.0,0.001943634596695821,1.0559204280912497e-06,963.6857773730368,1.9805282481132906,1.0,0.0009718172983479105,5.279602140456249e-07,,
9,90.0,1028.0,928.0,46.0,35.0,0.9027237354085603,0.04474708171206226,0.03404669260700389,0.0005427231290919139,0.0004899290503864748,2.4285276204501984e-05,1.8477927546903684e-05,21.653795852446464,82.86054698892703,121.8191240024194,21.660701098379842,1.0089117937503325,0.8166751014694997,1.0473023976316145,0.958890687727341,0.24135534347991563,15.0,0.014591439688715954,7.919111805815865e-06,157.64396840859675,0.8872491498509246,2.0,0.0019455252918287938,1.055881574108782e-06,953.5421774773209,1.9596454747425678,2.0,0.0019455252918287938,1.055881574108782e-06,602.5809628011739,1.2383773731366228
